lemma,learning_language,item
kommunikation,de,communication
comunista,es,communist
communauté,fr,community
comunidad,es,community
comunidade,pt,community
comunità,it,community
unternehmen,de,company
compañero,es,companion
compagnie,fr,company
compañía,es,company
empresa,pt,company
firma,de,company
unternehmer,de,Company
vergleichen,de,compare
vergleich,de,comparison
kompetenz,de,competence
competencia,es,competition
competição,pt,competition
concours,fr,Competition
concurrence,fr,competition
concurso,es,competition
wettbewerb,de,competition
compléter,fr,complete
komplett,de,Complete
vollständig,de,Completed
completamente,es,completely
completamente,it,completely
completamente,pt,completely
complètement,fr,completely
völlig,de,completely
complexe,fr,complex
componente,es,component
componente,pt,component
komponente,de,component
composición,es,composition
composition,fr,composition
computador,pt,computer
computadora,es,computer
computer,de,computer
computer,it,computer
ordinateur,fr,computer
camarade,fr,comrade
concentración,es,concentration
conceito,pt,concept
concepto,es,concept
concetto,it,concept
konzept,de,concept
concerner,fr,concern
preocupação,pt,concern
preocupación,es,concern
concernant,fr,Concerning
concert,fr,concert
concerto,pt,concert
concierto,es,concert
konzert,de,concert
schließen,de,conclude
conclusão,pt,conclusion
conclusion,fr,conclusion
conclusión,es,conclusion
fazit,de,Conclusion
condição,pt,condition
condición,es,condition
condition,fr,condition
conducta,es,conduct
conduite,fr,conduct
conduttore,it,conductor
maestro,pt,conductor
pasticceria,it,confectionery
conférence,fr,conference
conferencia,es,conference
bestätigen,de,confirm
bestätigung,de,confirmation
conflicto,es,conflict
conflit,fr,conflict
confondere,it,confuse
confusión,es,confusion
parabéns,pt,congratulations
congreso,es,congress
brancher,fr,connect
anschluss,de,connection
liaison,fr,Connection
verbindung,de,connection
consciência,pt,consciousness
consecuencia,es,consequence
folgen,de,consequences
conservação,pt,conservation
conservación,es,conservation
considerar,pt,consider
considerar,es,consider
considérer,fr,consider
envisager,fr,consider
berücksichtigung,de,Consideration
consideração,pt,consideration
consideración,es,consideration
bestehen,de,consist
consister,fr,consist
constante,es,constant
costante,it,constant
ständig,de,Constantly
constituir,es,constitute
constitución,es,Constitution
constitution,fr,constitution
bau,de,construction
construction,fr,construction
costruzione,it,construction
consultar,es,Consult
consulter,fr,consult
beratung,de,consultation
consumir,es,consume
verbraucher,de,consumer
consommation,fr,consumption
contact,fr,contact
contacter,fr,contact
contacto,es,Contact
kontakt,de,Contact
kontaktieren,de,contact
contener,es,contain
contenir,fr,contain
enthalten,de,contain
contenido,es,content
contenu,fr,Content
conteúdo,pt,content
inhalt,de,content
contexto,es,context
continente,es,continent
continente,it,continent
continente,pt,continent
continuación,es,continuation
continuar,es,continue
continuar,pt,continue
poursuivre,fr,continue
weiter,de,continue
continuidad,es,continuity
continuidade,pt,continuity
kontra,de,Contra
contrat,fr,contract
contrato,es,contract
vertrag,de,contract
contrario,es,contrary
contrario,it,contrary
contribuer,fr,contribute
beitrag,de,Contribution
control,es,control
controlar,es,control
controlar,pt,control
controle,pt,control
contrôle,fr,control
contrôler,fr,control
controllo,it,control
kontrolle,de,control
steuerung,de,control
conveniente,es,convenient
pratique,fr,convenient
conversa,pt,conversation
conversação,pt,conversation
conversación,es,conversation
conversation,fr,conversation
convertir,es,convert
vermitteln,de,convey
cocinar,es,Cook
cozer,pt,cook
cozinhar,pt,cook
cucinare,it,cook
cuisiner,fr,cook
cuisinier,fr,cook
cuoco,it,cook
koch,de,cook
cuisine,fr,cooked
biscotto,it,cookie
kochen,de,cooking
legal,pt,cool
ventilatore,it,cooling fan
cooperación,es,cooperation
kooperation,de,cooperation
cuivre,fr,copper
kopieren,de,copy
núcleo,es,core
núcleo,pt,core
blé,fr,corn
mais,it,corn
maïs,fr,corn
milho,pt,corn
coin,fr,corner
esquina,es,corner
esquina,pt,corner
cadáver,es,corpse
cadáver,pt,corpse
corretto,it,correct
richtig,de,correct
corresponder,es,correspond
correspondant,fr,corresponding
correspondiente,es,corresponding
entsprechend,de,Correspondingly
corrupción,es,corruption
kosmetik,de,Cosmetics
costar,es,Cost
costare,it,cost
costo,es,cost
coûter,fr,cost
custar,pt,cost
kosten,de,cost
costume,it,costume
traje,pt,costume
coton,fr,cotton
canapé,fr,couch
sofá,pt,couch
conselheiro,pt,Counselor
ratgeber,de,counselor
compter,fr,Count
conde,es,count
conde,pt,Count
zählen,de,counting
länder,de,country
land,de,country
paese,it,country
país,es,country
pays,fr,country
staat,de,Country
campo,es,countryside
município,pt,County
casal,pt,couple
coppia,it,couple
couple,fr,couple
pareja,es,couple
courage,fr,courage
corso,it,course
curso,es,course
curso,pt,course
kurs,de,course
rumbo,es,course
verlauf,de,course
corte,pt,court
cour,fr,court
hof,de,court
juzgado,es,court
tribunal,es,court
tribunal,fr,court
tribunal,pt,court
audiência,pt,court hearing
cortile,it,courtyard
pátio,pt,courtyard
cousin,fr,cousin
cugino,it,cousin
primo,pt,cousin
pacto,es,covenant
capa,pt,cover
cobrir,pt,cover
couvrir,fr,cover
cubrir,es,cover
mucca,it,cow
vaca,pt,cow
vache,fr,cow
cangrejo,es,crab
berceau,fr,cradle
cuna,es,cradle
mestiere,it,craft
fou,fr,crazy
loco,es,crazy
crema,it,cream
crear,es,create
créer,fr,create
criar,pt,create
erstellen,de,create
schaffen,de,create
creación,es,creation
création,fr,creation
criação,pt,creation
erstellung,de,Creation
criatura,pt,creature
crédit,fr,credit
crédito,es,credit
kredit,de,credit
crêpe,fr,crepe
krippe,de,crib
crimen,es,crime
delito,es,crime
crise,fr,crisis
crisis,es,crisis
krise,de,crisis
kriterium,de,criteria
criterio,es,criterion
crítico,es,critical
crítico,pt,critical
critique,fr,critical
kritik,de,criticism
croix,fr,cross
cruz,es,cross
cruzar,pt,cross
folla,it,crowd
foule,fr,crowd
multidão,pt,crowd
corona,es,crown
krone,de,Crown
chorar,pt,cry
piangere,it,cry
pleurer,fr,cry
cristal,es,crystal
cubano,es,Cuban
cubano,it,Cuban
cubano,pt,Cuban
cultivar,es,cultivate
cultural,es,cultural
cultural,pt,cultural
culturale,it,cultural
culturel,fr,cultural
cultura,es,culture
cultura,pt,culture
culture,fr,culture
kultur,de,Culture
copa,es,Cup
copo,pt,cup
tasse,de,Cup
tasse,fr,Cup
taza,es,Cup
tazza,it,cup
xícara,pt,cup
curar,es,cure
curiosidad,es,curiosity
curieux,fr,curious
actuel,fr,current
aktuell,de,current
corriente,es,current
courant,fr,current
actualmente,es,currently
actuellement,fr,currently
attualmente,it,currently
atualmente,pt,currently
derzeit,de,currently
cortina,pt,curtain
rideau,fr,curtain
tenda,it,curtain
costumar,pt,custom
costume,pt,custom
client,fr,customer
kunde,de,customer
cortar,es,cut
cortar,pt,cut
couper,fr,cut
tagliare,it,cut
taille,fr,cut
carino,it,cute
schneider,de,cutter
ciclo,es,cycle
ciclo,it,cycle
ciclo,pt,cycle
papa,es,dad
papa,fr,dad
papá,es,dad
papai,pt,dad
diariamente,pt,daily
diario,es,daily
diário,pt,daily
quotidiano,it,daily
quotidien,fr,daily
quotidianamente,it,daily
danno,it,damage
schaden,de,damage
ballare,it,dance
ballo,it,dance
dança,pt,dance
dançar,pt,dance
danse,fr,dance
danza,es,dance
tanz,de,dance
achtung,de,Danger
danger,fr,danger
gefahr,de,danger
peligro,es,danger
pericolo,it,danger
perigo,pt,Danger
dangereux,fr,dangerous
pericoloso,it,dangerous
perigoso,pt,dangerous
oscuro,es,Dark
scuro,it,dark
sombre,fr,dark
moreno,pt,dark skinned
escuridão,pt,darkness
oscuridad,es,darkness
querido,pt,Darling
data,it,date
data,pt,date
dater,fr,date
datum,de,date
fecha,es,date
date,fr,dated
tochter,de,daughter
madrugada,pt,Dawn
dia,pt,day
día,es,day
giorno,it,day
jour,fr,day
journée,fr,day
tag,de,Day
morto,it,dead
muerto,es,dead
frist,de,Deadline
prazo,pt,deadline
negocio,es,deal
tratar,pt,deal with
caro,it,Dear
lieb,de,Dear
mort,fr,Death
tod,de,death
debatir,es,debate
dette,fr,debt
deuda,es,debt
década,es,decade
década,pt,decade
decennio,it,decade
décembre,fr,December
dezember,de,December
dezembro,pt,December
dicembre,it,December
décider,fr,decide
decidere,it,decide
decidir,es,decide
decidir,pt,decide
determinar,es,decide
entscheiden,de,decide
beschluss,de,decision
decisão,pt,decision
decisión,es,decision
décision,fr,decision
decisione,it,decision
entscheidung,de,decision
declaración,es,declaration
declarar,es,declare
descenso,es,decline
décor,fr,decor
disminución,es,decrease
decreto,es,decree
dedicar,es,dedicate
profond,fr,deep
profondo,it,deep
profundo,es,deep
profundo,pt,deep
derrota,es,defeat
derrotar,es,defeat
derrotar,pt,defeat
defender,es,defend
defender,pt,defend
défendre,fr,defend
defensa,es,defending
défense,fr,defense
déficit,es,deficit
definieren,de,define
definir,es,define
définir,fr,define
definitivamente,es,definitely
definitivamente,pt,definitely
définitivement,fr,Definitely
definição,pt,definition
definición,es,definition
definition,de,definition
définition,fr,definition
definitivo,es,definitive
definitivo,it,definitive
definitivo,pt,definitive
grad,de,Degree
grau,pt,degree
atrasar,pt,delay
retard,fr,delay
ritardo,it,delay
verzögern,de,delay
delegação,pt,delegation
delegación,es,delegation
délicieux,fr,delicious
eingrenzen,de,delimit
entregar,es,deliver
livrer,fr,deliver
lieferung,de,delivery
ilusión,es,delusion
domanda,it,demand
exigir,es,demand
exigir,pt,demand
fordern,de,demand
demo,de,demo
democracia,es,democracy
democratico,it,democratic
democrático,es,democratic
demonstrar,pt,demonstrate
démontrer,fr,demonstrate
zeigen,de,demonstrate
dentista,pt,dentist
negar,es,deny
negar,pt,deny
departamento,es,Department
departamento,pt,Department
département,fr,department
dipartimento,it,department
départ,fr,departure
partenza,it,departure
partida,es,departure
salida,es,departure
depender,es,depend
depender,pt,depend
dépendre,fr,depend
dependencia,es,dependence
abhängig,de,dependent
depot,de,depot
depresión,es,depression
priver,fr,deprive
profundidad,es,depth
profundidade,pt,depth
descida,pt,Descent
bezeichnen,de,describe
décrire,fr,describe
descrever,pt,describe
descrivere,it,describe
beschreibung,de,description
descrição,pt,description
descripción,es,description
descrizione,it,Description
désert,fr,desert
merecer,es,deserve
merecer,pt,deserve
conception,fr,design
concevoir,fr,design
design,de,design
diseñar,es,design
diseño,es,design
entwurf,de,design
desiderio,it,desire
désir,fr,desire
envie,fr,desire
escritorio,es,desk
scrivania,it,desk
désoler,fr,Desolate
malgré,fr,despite
nonostante,it,despite
trotz,de,despite
destinazione,it,destination
destino,es,destination
destin,fr,destiny
destrucción,es,destruction
destruction,fr,destruction
detail,de,detail
détail,fr,detail
detalhe,pt,detail
detalle,es,detail
detailliert,de,Detailed
bestimmung,de,determination
déterminer,fr,determine
ermitteln,de,determine
determinado,es,determined
desarrollar,es,develop
développer,fr,develop
entwickeln,de,develop
entwickler,de,developer
développement,fr,development
entwicklung,de,development
apparecchio,it,device
gerät,de,device
diabo,pt,devil
diagnosi,it,diagnosis
diagnóstico,es,diagnosis
diagnóstico,pt,diagnosis
dialog,de,dialog
diálogo,es,dialogue
durchmesser,de,diameter
diario,it,diary
dado,es,dice
dictadura,es,dictatorship
dicionário,pt,dictionary
dictionnaire,fr,dictionary
dizionario,it,dictionary
morir,es,die
morire,it,die
morrer,pt,die
mourir,fr,die
diesel,de,diesel
diät,de,diet
dieta,es,diet
dieta,it,diet
régime,fr,diet
diferença,pt,difference
diferencia,es,difference
différence,fr,difference
differenza,it,difference
unterschied,de,difference
anders,de,different
diferente,es,different
diferente,pt,different
différent,fr,different
differente,it,different
distinto,es,different
diverso,it,different
verschieden,de,different
différencier,fr,differentiate
unterschiedlich,de,differently
difficile,fr,difficult
difficile,it,difficult
difícil,es,difficult
difícil,pt,difficult
difficoltà,it,difficulty
difficulté,fr,difficulty
dificuldade,pt,difficulty
dificultad,es,difficulty
difusão,pt,diffusion
difusión,es,diffusion
digital,de,digital
dignidad,es,dignity
dignidade,pt,dignity
dimension,fr,dimension
dimensión,es,dimension
dimensione,it,dimension
cena,es,Dinner
cena,it,dinner
diploma,it,diploma
direct,fr,direct
directo,es,direct
direto,pt,direct
direção,pt,direction
direction,fr,direction
direzione,it,direction
senso,it,direction
richtlinie,de,Directive
directement,fr,directly
direkt,de,directly
direttamente,it,directly
unmittelbar,de,directly
directeur,fr,Director
director,es,director
direttore,it,director
verzeichnis,de,directory
sale,fr,dirty
sporco,it,dirty
sujo,pt,dirty
disparaître,fr,disappear
verschwinden,de,disappear
desaparición,es,disappearance
disparition,fr,disappearance
disciplina,es,discipline
disciplina,pt,discipline
discipline,fr,disciplined
découvrir,fr,discover
descubrir,es,discover
découverte,fr,discovery
descoberta,pt,discovery
descubrimiento,es,discovery
discuter,fr,discuss
diskutieren,de,discuss
discusión,es,discussion
discussão,pt,discussion
discussion,fr,discussion
diskussion,de,discussion
doença,pt,disease
enfermedad,es,disease
piatto,it,dish
plat,fr,dish
prato,pt,dish
disco,es,disk
disque,fr,disk
afficher,fr,display
anzeige,de,display
disposition,fr,disposition
abstand,de,distance
distance,fr,distance
distancia,es,distance
distância,pt,distance
distanza,it,distance
distribución,es,distribution
distribuição,pt,distribution
vertrieb,de,distribution
bezirk,de,district
distrito,es,district
distrito,pt,district
quartier,fr,district
quartiere,it,district
promotor,pt,district Attorney
diverso,es,diverse
vielfalt,de,diversity
teilen,de,divide
division,fr,division
división,es,division
divisione,it,division
fare,it,do
fazer,pt,do
hacer,es,do
machen,de,do
tun,de,do
faca,pt,do it
no,es,do not
arzt,de,doctor
docteur,fr,doctor
doctor,es,doctor
dottore,it,doctor
doutor,pt,doctor
médecin,fr,doctor
médico,es,doctor
document,fr,document
documento,es,document
documento,pt,document
dokument,de,document
dokumentation,de,documentation
fa,it,does
cane,it,dog
cão,pt,dog
chien,fr,dog
hund,de,dog
perro,es,dog
dólar,es,dollar
dólar,pt,dollar
dollar,de,dollar
dollar,fr,dollar
dauphin,fr,dolphin
delfino,it,dolphin
golfinho,pt,dolphin
dominio,es,domain
domínio,pt,domain
don,fr,Don
porta,it,door
porta,pt,door
porte,fr,door
puerta,es,door
tür,de,door
dormitório,pt,dormitory
dose,pt,dose
dosis,es,dose
doble,es,double
dobro,pt,double
doppio,it,double
double,fr,double
douter,fr,doubt
dudar,es,doubt
duvidar,pt,doubt
masa,es,dough
pâte,fr,dough
giù,it,down
herunterladen,de,Download
proyecto,es,draft
redacción,es,drafting
desagüe,es,drain
desenhar,pt,draw
disegnare,it,draw
tirar,pt,draw
desenho,pt,drawing
dessin,fr,drawing
rêve,fr,dream
rêver,fr,dream
sognare,it,dream
sogno,it,dream
sonhar,pt,dream
sonho,pt,dream
sueño,es,dream
traum,de,dream
dresden,de,Dresden
abito,it,dress
kleid,de,dress
kleidung,de,dress
robe,fr,dress
vestido,es,dress
vestido,pt,dress
vestire,it,dress
vestito,it,dress
bebê,pt,drink
beber,pt,drink
beber,es,drink
boire,fr,drink
boisson,fr,drink
getränk,de,drink
tomar,es,drink
trinken,de,drink
bere,it,drinking
conduire,fr,drive
conduzir,pt,drive
dirigir,pt,drive
fahren,de,drive
manejar,es,drive
chauffeur,fr,driver
fahrer,de,driver
motorista,pt,driver
anfahrt,de,Driveway
patente,it,driving license
caída,es,drop
medikament,de,drug
tambor,pt,drum
tamburo,it,drum
batterie,fr,drum
asciugare,it,dry
sec,fr,dry
secar,pt,Dry
secco,it,dry
seco,pt,dry
secar,es,dry off
anatra,it,duck
canard,fr,duck
ente,de,duck
pato,es,duck
pato,pt,duck
duo,de,duo
bestand,de,duration
dauer,de,Duration
duração,pt,duration
duración,es,duration
durant,fr,during
durante,es,during
durante,it,during
durante,pt,during
polvo,es,dust
poussière,fr,dust
deber,es,duty
devoir,fr,duty
dovere,it,duty
email,de,e-mail
cada,es,each
cada,pt,each
chacun,fr,each
chaque,fr,each
je,de,Each
jeweils,de,each
ognuno,it,each
oído,es,ear
orelha,pt,ear
cedo,pt,early
früh,de,early
tôt,fr,early
madrugada,es,early morning
guadagnare,it,earn
verdienen,de,earn
erde,de,earth
terra,pt,Earth
terre,fr,Earth
tierra,es,Earth
facilidad,es,ease
facilement,fr,easily
facilmente,it,easily
facilmente,pt,easily
fácilmente,es,easily
est,fr,East
est,it,East
este,es,East
éste,es,East
leste,pt,east
oriente,es,East
osten,de,east
einfach,de,easy
fácil,pt,easy
facile,fr,easy
facile,it,easy
comer,es,eat
comer,pt,eat
essen,de,eat
manger,fr,eat
mangiare,it,eat
economico,it,economic
económico,es,economic
économique,fr,economic
economía,es,economy
économie,fr,economy
wirtschaft,de,economy
ecuador,es,Ecuador
bord,fr,edge
edición,es,edition
herausgeber,de,editor
editorial,es,editorial
redaktion,de,editorial staff
ausbildung,de,education
bildung,de,education
educação,pt,education
educación,es,education
éducation,fr,education
educazione,it,education
enseignement,fr,education
erziehung,de,education
fortbildung,de,Education
studium,de,Education
efecto,es,effect
effekt,de,effect
effet,fr,effect
effetto,it,effect
wirkung,de,effect
efficace,fr,effective
efficace,it,effective
eficaz,es,effective
eficaz,pt,effective
efectivamente,es,effectively
effectivement,fr,effectively
eficacia,es,effectiveness
aufwand,de,effort
effort,fr,effort
esforço,pt,effort
esfuerzo,es,effort
ei,de,egg
huevo,es,egg
oeuf,fr,egg
œuf,fr,egg
ovo,pt,egg
uovo,it,egg
acht,de,eight
huit,fr,eight
ocho,es,eight
oito,pt,eight
otto,it,eight
dezoito,pt,eighteen
diciotto,it,eighteen
dix-huit,fr,eighteen
oitavo,pt,eighth
ottavo,it,eighth
oitenta,pt,eighty
ottanta,it,eighty
quatre-vingts,fr,eighty
entweder,de,either
sowohl,de,either
élu,fr,elected
élection,fr,election
electoral,es,electoral
eléctrico,es,electric
électrique,fr,electric
elettrico,it,electric
kabel,de,electric wire
strom,de,electricity
elektro,de,Electro
elektronik,de,electronics
élément,fr,element
elemento,es,element
elemento,pt,element
elefant,de,elephant
elefante,es,elephant
elefante,it,elephant
elefante,pt,elephant
éléphant,fr,elephant
once,es,eleven
onze,fr,eleven
onze,pt,eleven
undici,it,eleven
eliminar,pt,eliminate
ailleurs,fr,elsewhere
emoção,pt,emotion
emoción,es,emotion
émotion,fr,emotion
emozione,it,emotion
kaiser,de,Emperor
empire,fr,empire
imperio,es,empire
beschäftigen,de,employ
employer,fr,employ
empleado,es,employee
employé,fr,employee
mitarbeiter,de,Employee
trabajador,es,employee
arbeitnehmer,de,employee
arbeitgeber,de,employer
emploi,fr,employment
emprego,pt,employment
leeren,de,empty
svuotare,it,empty
vazio,pt,empty
vide,fr,empty
vider,fr,empty
vuoto,it,empty
ermöglichen,de,enable
acabar,pt,end
bout,fr,end
fim,pt,end
fin,es,end
fin,fr,end
final,pt,end
fine,it,end
finire,it,end
enden,de,end up
terminar,es,end up
schluss,de,ending
aguentar,pt,endure
enemigo,es,enemy
ennemi,fr,enemy
inimigo,pt,enemy
nemico,it,enemy
energia,pt,energy
energía,es,Energy
energie,de,energy
énergie,fr,energy
engagement,de,engagement
verpflichtung,de,engagement
moteur,fr,engine
motor,de,engine
motore,it,engine
engenheiro,pt,engineer
ingegnere,it,engineer
ingénieur,fr,engineer
génie,fr,Engineering
inghilterra,it,England
inglaterra,pt,England
anglais,fr,English
englisch,de,English
inglés,es,English
inglês,pt,English
inglese,it,English
stich,de,engraving
apprécier,fr,Enjoy
genießen,de,enjoy
genuss,de,enjoyment
agrandir,fr,enlarge
vergrößern,de,enlarge
abbastanza,it,enough
assez,fr,enough
bastante,pt,enough
sufficiente,it,enough
suffisamment,fr,enough
suficiente,es,enough
suficiente,pt,enough
asegurar,es,ensure
assurer,fr,ensure
eingeben,de,enter
eintragen,de,enter
entre,fr,enter
entrer,fr,enter
unterhaltung,de,entertainment
entidad,es,entity
entidade,pt,entity
eingang,de,entrance
entrata,it,Entrance
entrée,fr,Entrance
ingresso,it,entrance
entrada,es,entry
ingreso,es,entry
busta,it,envelope
envelope,pt,envelope
enveloppe,fr,envelope
ambiente,es,environment
ambiente,pt,environment
umwelt,de,environment
envier,fr,envy
égal,fr,equal
égaler,fr,Equal
gleich,de,equal
igual,pt,equal
uguale,it,equal
égalité,fr,equality
igualdad,es,equality
igualmente,es,equally
igualmente,pt,equally
ugualmente,it,equally
ausstattung,de,equipment
équipement,fr,equipment
equipo,es,equipment
matériel,fr,equipment
zubehör,de,equipment
epoca,it,era
löschen,de,Erase
errar,pt,err
erreur,fr,error
error,es,error
errore,it,error
fehler,de,error
enfuir,fr,escape
besonder,de,Especially
besonders,de,especially
especialmente,es,especially
especialmente,pt,especially
insbesondere,de,especially
notamment,fr,especially
speziell,de,Especially
esencia,es,essence
essentiel,fr,essential
indispensable,fr,essential
wesentlich,de,essential
essentiellement,fr,essentially
essenzialmente,it,essentially
estabelecer,pt,establish
establecer,es,establish
festlegen,de,establish
gründen,de,establish
establecimiento,es,establishment
établissement,fr,establishment
hacienda,es,estate
estimer,fr,estimate
etc,fr,Etc.
etico,it,ethical
ético,es,ethical
ético,pt,ethical
euro,de,Euro
euro,fr,euro
europa,de,Europe
europa,it,Europe
europa,pt,Europe
europe,fr,Europe
europäisch,de,European
européen,fr,European
europeo,es,European
europeo,it,European
europeu,pt,European
bewerten,de,evaluate
auswertung,de,evaluation
beurteilung,de,evaluation
evaluación,es,evaluation
wertung,de,Evaluation
abend,de,Eve
addirittura,it,even
même,fr,even
selbst,de,even
siquiera,es,Even
sogar,de,even
sera,it,evening
soir,fr,evening
soirée,fr,evening
ereignis,de,event
evento,pt,event
veranstaltung,de,event
agenda,fr,event
sempre,pt,ever
ogni,it,every
täglich,de,Every day
alltag,de,everyday life
dappertutto,it,everywhere
ovunque,it,everywhere
évidence,fr,evidence
evidencia,es,evidence
preuve,fr,evidence
evidente,es,evident
evolução,pt,evolution
evolución,es,evolution
évolution,fr,evolution
exact,fr,exact
esattamente,it,exactly
exactamente,es,exactly
exactement,fr,exactly
exatamente,pt,exactly
justement,fr,exactly
esame,it,exam
exame,pt,exam
prüfung,de,exam
examen,fr,examination
untersuchung,de,examination
beispiel,de,example
ejemplo,es,example
esempio,it,example
exemple,fr,example
exemplo,pt,example
ausgezeichnet,de,excellent
eccellente,it,excellent
excelente,es,Excellent
excelente,pt,excellent
excellent,fr,excellent
außer,de,except
eccetto,it,except
excepté,fr,except
exceto,pt,except
sauf,fr,EXCEPT
tranne,it,except
ausnahme,de,exception
excepción,es,exception
exceso,es,excess
excesso,pt,excess
échanger,fr,exchange
intercambio,es,exchange
intercâmbio,pt,exchange
begeistert,de,excited
emozionante,it,exciting
ausschließlich,de,exclusively
desculpa,pt,excuse
excuser,fr,excuse
scusare,it,excuse
entschuldigung,de,Excuse me
ausführung,de,execution
durchführung,de,execution
ejecución,es,execution
ejecutivo,es,executive
ejercicio,es,exercise
esercitare,it,exercise
esercizio,it,exercise
exercice,fr,exercise
exercício,pt,exercise
exercitar,pt,exercise
übung,de,exercise
ausstellung,de,exhibition
esibizione,it,exhibition
exposição,pt,exhibition
exister,fr,exist
existieren,de,exist
existir,es,exist
existir,pt,exist
esistenza,it,existence
existencia,es,existence
existência,pt,existence
sortie,fr,exit
sortir,fr,exit
uscita,it,Exit
erweitern,de,expand
ausbau,de,expansion
expansión,es,expansion
attendre,fr,expect
erwarten,de,expect
cara,es,expensive
caro,es,expensive
caro,pt,expensive
cher,fr,expensive
costoso,it,expensive
teuer,de,expensive
erfahrung,de,Experience
erleben,de,experience
esperienza,it,experience
expérience,fr,experience
experiencia,es,experience
experte,de,expert
perito,pt,Expert
erklären,de,explain
explicar,es,explain
explicar,pt,explain
expliquer,fr,explain
spiegare,it,explain
explicação,pt,explanation
explicación,es,Explanation
explication,fr,explanation
spiegazione,it,explanation
explotación,es,exploitation
exploração,pt,exploration
esplorare,it,explore
explorar,pt,explore
esprimere,it,express
expresar,es,express
expressar,pt,express
exprimer,fr,Express
expresión,es,expression
expressão,pt,expression
expression,fr,expression
étendu,fr,Extended
ampliación,es,extension
erweiterung,de,extension
extensión,es,extension
exterior,es,Exterior
extern,de,external
extra,de,extra
extraordinaire,fr,extraordinary
extrem,de,extreme
extrême,fr,extreme
estremamente,it,extremely
extrêmement,fr,extremely
auge,de,eye
occhio,it,eye
œil,fr,eye
ojo,es,eye
olho,pt,eye
cara,pt,face
face,fr,face
gesicht,de,face
rosto,pt,face
rostro,es,face
visage,fr,face
einrichtung,de,Facility
dato,es,fact
fait,fr,fact
factor,es,factor
fabrik,de,factory
facultad,es,faculty
fakultät,de,Faculty
falhar,pt,fail
fallire,it,fail
fracaso,es,failure
feria,es,fair
justo,es,fair
justo,pt,fair
fe,es,faith
fevereiro,pt,faith
foi,fr,faith
glaube,de,faith
cadere,it,fall
caer,es,fall
chute,fr,fall
fallen,de,fall
tomber,fr,fall
cair,pt,fall down
fama,es,fame
fama,pt,fame
familiare,it,familiar
famiglia,it,family
familia,es,family
família,pt,family
familiar,es,family
familiar,pt,Family
familie,de,family
famille,fr,family
famoso,es,famous
famoso,it,famous
famoso,pt,famous
fan,de,fan
ventilador,pt,fan
fantastique,fr,fantastic
fantasia,pt,fantasy
lejos,es,far
loin,fr,far
longe,pt,far
lontano,it,far
weit,de,far
adieu,fr,farewell
fattoria,it,farm
fazenda,pt,farm
granja,pt,farm
bauer,de,Farmer
campesino,es,farmer
camponês,pt,farmer
contadino,it,farmer
fazendeiro,pt,farmer
agricultura,es,farming
weiterhin,de,Farther
moda,es,fashion
moda,pt,fashion
mode,de,Fashion
mode,fr,fashion
modelo,pt,fashion model
rapide,fr,fast
rápido,pt,fast
schnell,de,fast
veloce,it,fast
gras,fr,Fat
grasso,it,fat
padre,es,father
padre,it,father
pai,pt,father
père,fr,Father
vater,de,father
culpa,pt,fault
faute,fr,Fault
faveur,fr,favor
favor,pt,favor
favore,it,favor
preferito,it,favorite
favorit,de,Favourite
miedo,es,fear
paura,it,fear
peur,fr,fear
temor,es,fear
pena,pt,feather
caractéristique,fr,feature
verfügen,de,feature
febbraio,it,February
febrero,es,February
februar,de,February
février,fr,February
federal,es,federal
bundesregierung,de,Federal government
bundesrepublik,de,Federal republic
bundesland,de,federal state
bund,de,Federation
federación,es,federation
sentir,es,feel
sentir,fr,feel
sentir,pt,feel
sentire,it,feel
gefühl,de,feeling
sentiment,fr,feeling
sentimento,pt,feeling
sentimiento,es,feeling
femenino,es,female
feminino,pt,female
cerca,pt,Fence
festival,de,festival
festival,es,festival
festival,pt,festival
weniger,de,fewer
fidanzato,it,fiance
violín,es,fiddle
campo,it,field
campo,pt,field
champ,fr,field
domaine,fr,field
feld,de,field
quince,es,fifteen
quindici,it,fifteen
quinze,fr,fifteen
quinze,pt,fifteen
quinta,pt,fifth
quinto,it,fifth
quinto,pt,fifth
cinquanta,it,fifty
cinquante,fr,fifty
cinquenta,pt,fifty
cifra,es,figure
figur,de,figure
figura,es,figure
figura,pt,figure
encher,pt,fill
remplir,fr,Fill
riempire,it,fill
llenar,es,fill in
filter,de,filter
final,es,final
final,fr,final
finale,it,final
definitivamente,it,finally
endlich,de,Finally
enfin,fr,finally
finalement,fr,finally
finalmente,es,Finally
finalmente,it,finally
finalmente,pt,finally
finanzen,de,Finances
financiación,es,financing
finanzierung,de,financing
achar,pt,find
encontrar,es,find
finden,de,Find
retrouver,fr,Find
trouver,fr,find
trovare,it,find
erfahren,de,find out
amende,fr,fine
dedo,es,finger
dedo,pt,finger
dito,it,finger
doigt,fr,finger
finger,de,finger
acabar,es,finish
finir,fr,finish
terminar,pt,finish
terminer,fr,Finish
término,es,finished
feu,fr,fire
feuer,de,Fire
fogo,pt,fire
fuego,es,fire
feuerwehr,de,fire Department
foyer,fr,Fireplace
firme,es,firm
erst,de,first
premier,fr,first
primeiro,pt,first
primero,es,First
primo,it,first
zuerst,de,first
zunächst,de,first
vorname,de,first given name
nombre,es,first name
prénom,fr,first name
fiscal,es,fiscal
fisch,de,fish
peixe,pt,fish
pescado,es,fish
pescar,pt,fish
pescare,it,fish
